City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
316,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,100,40,6.91,mist
317,Sept-Iles,CA,50.2001,-66.3821,59.05,79,20,5.01,few clouds
318,Tautira,PF,-17.7333,-149.15,73.42,73,32,19.35,scattered clouds
319,Boa Vista,BR,2.8197,-60.6733,87.78,58,20,8.05,few clouds
320,Bagdarin,RU,54.4333,113.6,35.53,87,19,4.52,few clouds
321,Gorom-Gorom,BF,14.4439,-0.2361,98.98,29,6,8.77,clear sky
322,Manggar,ID,-2.8833,108.2667,80.98,79,41,7.78,scattered clouds
323,Namibe,AO,-15.1961,12.1522,72.23,73,0,12.66,clear sky
324,Najran,SA,17.4924,44.1277,92.05,14,28,12.84,scattered clouds
325,Hastings,GB,50.8552,0.5729,73.89,78,39,11.86,scattered clouds
326,Mandla,IN,22.6,80.3833,73.18,97,100,7.54,overcast clouds
327,San Ciro De Acosta,MX,21.6333,-99.8167,71.67,89,98,2.26,overcast clouds
328,Kofele,ET,7.0667,38.7833,55.26,88,99,1.36,light rain
329,Sokoto,NG,13.0609,5.239,91.96,47,56,5.28,broken clouds
330,Yerbogachen,RU,61.2767,108.0108,39.13,86,97,4.61,overcast clouds
331,Ahuimanu,US,21.4447,-157.8378,78.51,79,40,4.61,light rain
332,Jabinyanah,TN,35.035,10.9081,87.6,53,54,12.91,broken clouds
333,Foam Lake,CA,51.65,-103.5343,46.42,47,0,20.51,clear sky
334,Apaseo El Alto,MX,20.45,-100.6167,63.82,80,43,0.92,scattered clouds
335,Barnstaple,GB,51.0802,-4.0581,70.14,83,78,7.7,broken clouds
336,Lima,PE,-12.0432,-77.0282,57.45,88,90,5.75,overcast clouds
337,Kieta,PG,-6.2167,155.6333,76.87,86,17,4.99,light rain
338,Slave Lake,CA,55.2834,-114.769,44.58,76,90,27.63,overcast clouds
339,Mandalay,MM,21.9747,96.0836,80.46,84,99,3.89,light rain
340,Hudson Bay,CA,52.85,-102.3842,52.95,45,1,16.55,clear sky
341,Bronnoysund,NO,65.4625,12.1997,57.31,67,0,6.91,clear sky
342,San Cristobal,VE,7.7669,-72.225,82.58,47,15,8.1,few clouds
343,Vila Velha,BR,-20.3297,-40.2925,78.75,73,20,13.8,few clouds
344,Kwekwe,ZW,-18.9281,29.8149,90.73,18,29,3.29,scattered clouds
345,Touros,BR,-5.1989,-35.4608,85.1,62,13,18.97,few clouds
